0,1,2,3,4,5,6,7,8,9
1.493867,1.4967556,1.4932725,1.4970232,1.4874433,1.5104766,1.5095745,1.4887826,1.498799,1.4928671
1.4938871,1.4958497,1.4939961,1.4976828,1.4873362,1.5103312,1.510939,1.4890032,1.4987721,1.493243
1.4939071,1.494944,1.4947197,1.4983565,1.4872136,1.5101857,1.5123036,1.4892237,1.498747,1.4936146
1.4939269,1.4940382,1.4954433,1.4990354,1.4870694,1.5100404,1.5136681,1.4894443,1.4987218,1.4939806
1.4939382,1.4931322,1.4961668,1.4997141,1.486925,1.509895,1.5150422,1.4896648,1.4986968,1.4943467
1.4939495,1.4922267,1.4968904,1.500393,1.4867808,1.5097557,1.5164162,1.4898853,1.4986717,1.494713
1.4939461,1.491323,1.497614,1.5010718,1.4866365,1.5096424,1.5177903,1.4901057,1.4986496,1.495079
1.4939302,1.4904392,1.4983376,1.5017507,1.4864872,1.509529,1.5191643,1.4903263,1.4986578,1.4954451
1.493924,1.489565,1.4990612,1.5024295,1.4863268,1.5094155,1.520544,1.4905468,1.4986863,1.4958112
1.4939178,1.4886909,1.4997848,1.5031084,1.4861665,1.5093021,1.5219316,1.490762,1.4987148,1.4961774
1.4939116,1.4878352,1.5005084,1.5037805,1.4860061,1.5091888,1.5233192,1.4909768,1.4987434,1.4965435
1.4939054,1.4869918,1.501233,1.5044508,1.4858459,1.5090754,1.5247067,1.4911916,1.4987719,1.4969027
1.4938958,1.4861484,1.5019556,1.5051212,1.485697,1.508962,1.5260943,1.4914064,1.4988004,1.4972367
1.4938728,1.4853048,1.5026783,1.5057827,1.4855522,1.5088487,1.5274818,1.4916146,1.498829,1.4975708
1.4938499,1.4844613,1.5034008,1.5064412,1.4854072,1.5087353,1.5288498,1.491816,1.4988575,1.4979048
1.493827,1.4836457,1.504123,1.5070997,1.48529,1.5086219,1.530105,1.4920123,1.4988859,1.4982307
1.493867,1.483082,1.5046504,1.5075848,1.4852964,1.5085013,1.530961,1.4922181,1.4989077,1.4985007
1.4939141,1.4826102,1.5051358,1.5080221,1.4853114,1.5083793,1.5317358,1.4924259,1.4989282,1.4987437
1.4939613,1.4821398,1.5056211,1.5084682,1.4853349,1.5082575,1.5325105,1.4926386,1.4989486,1.4989911
1.4940084,1.4816695,1.5061046,1.5089142,1.4853681,1.5081356,1.5332854,1.4928514,1.4989691,1.4992386
1.4940555,1.4811993,1.5065854,1.5093603,1.4854013,1.5080137,1.5340601,1.4930865,1.4989895,1.4994861
1.4941083,1.4807433,1.5070351,1.5097823,1.4854527,1.5078522,1.5347906,1.4933238,1.4990098,1.4997398
1.4941806,1.4804745,1.5073924,1.5100263,1.4855217,1.5076786,1.535265,1.4935569,1.499007,1.4999527
1.494265,1.4802624,1.5077101,1.510238,1.4856116,1.5075057,1.5354851,1.49379,1.4989845,1.5001438
1.4943492,1.4800504,1.5079987,1.5104498,1.4857014,1.5073278,1.5357121,1.4940231,1.4989184,1.500335
1.4944866,1.4802784,1.5081136,1.5104584,1.486025,1.507119,1.5352663,1.4942585,1.4988747,1.5004594
1.494663,1.4806224,1.5080858,1.5103245,1.4864223,1.5068926,1.5345335,1.4944831,1.4988476,1.5005463
1.4948395,1.4809664,1.508056,1.5101838,1.4868125,1.5066661,1.5338008,1.4947054,1.4988204,1.5006332
1.495,1.4813104,1.5080256,1.5100362,1.4872187,1.5064396,1.5330648,1.4949276,1.4987934,1.5007197
1.4951451,1.4816678,1.5079954,1.5098886,1.4876286,1.5062131,1.5323211,1.49515,1.4987663,1.5007991
1.4952903,1.4820287,1.507965,1.5097564,1.4880383,1.5059866,1.5315713,1.4953723,1.4987469,1.5008676
1.4954354,1.4823897,1.5079346,1.5096298,1.4884557,1.5057601,1.530822,1.4955976,1.4987686,1.5009363
1.4956436,1.4830595,1.507694,1.5092319,1.4889836,1.5054924,1.5295141,1.4958127,1.4987823,1.5008655
1.4958577,1.4837723,1.5073458,1.508756,1.48951,1.5052108,1.5279858,1.496023,1.4987953,1.5007815
1.4960706,1.4844851,1.5069813,1.5083244,1.4900323,1.5049218,1.5264575,1.4962825,1.4988025,1.5006914
1.496269,1.4851991,1.5066125,1.507892,1.4905429,1.5046172,1.5249015,1.4965465,1.4988022,1.5005815
1.4964701,1.4859701,1.5062358,1.5074214,1.4910914,1.5043049,1.5232869,1.496825,1.4988469,1.5004731
1.4967166,1.4868892,1.5058079,1.5068734,1.4917084,1.5039347,1.5215132,1.4971378,1.4988585,1.5003573
1.4969599,1.4878643,1.5053711,1.5063252,1.4923564,1.5035676,1.5197079,1.4974444,1.4988666,1.5002409
1.4972032,1.4888393,1.5049715,1.5057727,1.492995,1.5032345,1.5179029,1.497748,1.4988748,1.5001247
1.4974371,1.4898198,1.5045961,1.5052094,1.4936361,1.5029593,1.5161002,1.4980612,1.4988799,1.5000256
1.4976772,1.4908112,1.5042326,1.5046879,1.4942912,1.5027187,1.5142962,1.4983815,1.498884,1.4999715
1.4980221,1.4918263,1.5038755,1.5041672,1.4949588,1.5024284,1.5125061,1.4987079,1.4988831,1.4998871
1.4984396,1.4928762,1.503527,1.5036527,1.495629,1.5021356,1.5107402,1.4990426,1.4989663,1.4998027
1.4988787,1.4939141,1.5031545,1.5030986,1.4962854,1.5018457,1.5089712,1.4994117,1.4990617,1.4998132
1.4991974,1.4949523,1.5027701,1.5025462,1.4969373,1.5015246,1.5071937,1.4997494,1.4990846,1.499841
1.499459,1.4959353,1.5024381,1.5019847,1.4975164,1.5012662,1.5054439,1.5000023,1.4991,1.4998633
1.4997147,1.4968339,1.50208,1.5013825,1.4980818,1.5010242,1.5037378,1.5001564,1.4990966,1.499805
1.4998733,1.4973485,1.5017759,1.5009491,1.4982839,1.5008411,1.5026016,1.5002499,1.4990877,1.4996614
1.49992,1.4976891,1.5014867,1.5005445,1.498376,1.5006359,1.5015734,1.5002487,1.4989818,1.4994866
1.4999586,1.4979731,1.5011666,1.5000776,1.4984576,1.5003405,1.5004975,1.5002506,1.4988397,1.4993045
1.4999901,1.4982506,1.5008341,1.4996107,1.4985137,1.5000517,1.499446,1.5002508,1.4986984,1.4991225
1.5000244,1.4985093,1.5005004,1.4991333,1.4986014,1.4997624,1.4985,1.5002381,1.4985566,1.4989294
1.5000516,1.4987744,1.5001795,1.4986501,1.4986659,1.4994771,1.4975828,1.5002191,1.498414,1.4987346
1.5000707,1.4990512,1.499983,1.4982027,1.4986924,1.4991906,1.4970524,1.5002129,1.4982904,1.4985484
1.500059,1.4991425,1.4999036,1.4980649,1.4986227,1.4990513,1.4969198,1.5002626,1.4981781,1.498462
1.5000737,1.4990457,1.4998416,1.4979389,1.4985529,1.4989252,1.4968134,1.500323,1.4980572,1.498379
1.5000966,1.4988207,1.4998482,1.4978962,1.4985212,1.4988465,1.4968746,1.5004147,1.4979618,1.4983658
1.5001409,1.4984462,1.5000291,1.4980555,1.4985074,1.498817,1.4974064,1.5005409,1.4979105,1.4983779
1.5001838,1.4980365,1.500227,1.4982166,1.4984728,1.4987833,1.4979383,1.5006647,1.497854,1.4984032
1.5002118,1.4976026,1.50043,1.4983735,1.4984204,1.4987599,1.4984701,1.5007783,1.4978192,1.4984404
1.5002457,1.4971387,1.5006504,1.4985626,1.4983617,1.4987555,1.499002,1.5008912,1.4978001,1.4984775
1.5002809,1.4963807,1.5009527,1.4987881,1.4982018,1.4987696,1.4998294,1.5010053,1.4977763,1.498551
1.5003166,1.49555,1.5013328,1.4991904,1.4980041,1.4988017,1.5009388,1.5011342,1.4977728,1.4986391
1.5003439,1.4946594,1.5017837,1.4996492,1.4978058,1.4988331,1.5021374,1.5012777,1.497777,1.4987453
1.5003604,1.4937413,1.5022569,1.5001246,1.4975715,1.4988738,1.5033361,1.5014296,1.497778,1.4988631
1.5003695,1.4927801,1.5027702,1.5006671,1.4973364,1.4989268,1.5046055,1.5015815,1.4977672,1.4989752
1.5003785,1.4918262,1.5032738,1.5011892,1.4970732,1.4989793,1.5059936,1.5017188,1.497752,1.4990851
1.500387,1.4908755,1.5037776,1.501701,1.4968051,1.499032,1.5073817,1.5018526,1.4977366,1.4991951
1.5003954,1.4899184,1.5042813,1.5022013,1.4965371,1.4990846,1.5088018,1.5019864,1.497723,1.4993051
1.500404,1.4889612,1.5047737,1.5026916,1.4962708,1.4991373,1.510238,1.50212,1.4977188,1.499415
1.5004125,1.4880041,1.5052629,1.503182,1.4960088,1.4991899,1.511673,1.5022538,1.4977158,1.4995251
1.500421,1.4870468,1.5057518,1.5036724,1.495747,1.4992425,1.513108,1.5023875,1.4977157,1.4996308
1.5004295,1.4860871,1.506241,1.5041628,1.4954854,1.4992951,1.5145438,1.5025213,1.4977167,1.4997227
1.500438,1.4851273,1.50673,1.5046531,1.4952238,1.499347,1.515986,1.502655,1.4977095,1.4998146
1.5004466,1.4841676,1.5072191,1.5051435,1.4949558,1.4993976,1.5174252,1.5027888,1.4977008,1.4999067
1.500455,1.4832077,1.5077081,1.5056338,1.4946843,1.4994411,1.5188576,1.5029225,1.4976921,1.4999986
1.5004636,1.482248,1.5081972,1.5061243,1.4944129,1.4994841,1.5202899,1.5030562,1.4976834,1.5000905
1.5004721,1.4812882,1.5086862,1.5066142,1.4941415,1.499527,1.5217222,1.5031898,1.4976747,1.5001825
1.5004805,1.4803283,1.5091753,1.5071038,1.49387,1.4995699,1.5231545,1.5033233,1.497666,1.5002751
1.5004891,1.4793686,1.5096644,1.5075935,1.4935985,1.4996128,1.5245869,1.503457,1.4976573,1.5003681
