0,1,2,3,4,5,6,7,8,9
1.4278357,1.436333,1.4334627,1.4263963,1.4273909,1.4423811,1.419925,1.4354693,1.4206423,1.4332055
1.4270563,1.4360877,1.434241,1.427807,1.4268985,1.4429922,1.4199808,1.4351935,1.4208688,1.4324641
1.4262768,1.4358424,1.4350196,1.4292178,1.426406,1.4436034,1.4200364,1.4349369,1.4210953,1.4317226
1.4254974,1.4355972,1.4358002,1.4306287,1.4259136,1.4442165,1.4200922,1.4346801,1.4213216,1.4309812
1.4247179,1.435352,1.4365807,1.4320394,1.4254211,1.4448307,1.4201554,1.4344234,1.4215481,1.4302398
1.4239385,1.4351068,1.4373612,1.4334502,1.4249287,1.4454448,1.420228,1.4341667,1.4217745,1.4294983
1.423159,1.4348615,1.4381417,1.4348611,1.4244362,1.446059,1.4203005,1.43391,1.422001,1.428757
1.4223796,1.4346163,1.4389223,1.4362718,1.4239438,1.4466732,1.4203731,1.4336532,1.4222274,1.4280155
1.4216001,1.434371,1.4397027,1.4376826,1.4234446,1.4472872,1.4204465,1.4333966,1.4224602,1.4272869
1.4208207,1.4341258,1.4404833,1.4390935,1.4229431,1.4479014,1.4205335,1.4331398,1.4227005,1.4265658
1.4200412,1.4338806,1.4412638,1.4405042,1.4224416,1.4485155,1.4206206,1.4328831,1.4229407,1.4258446
1.4192618,1.4336567,1.4420444,1.441915,1.4219401,1.4491297,1.4207076,1.4326264,1.423181,1.4251235
1.4184823,1.4334391,1.4428248,1.4433259,1.4214386,1.4497437,1.4207945,1.4323697,1.4234213,1.4244024
1.4177029,1.4332216,1.4436249,1.4447366,1.4209371,1.4503579,1.4208815,1.4321129,1.4236616,1.4236811
1.4169234,1.4330039,1.444429,1.4461474,1.4204355,1.4509721,1.4209685,1.4318563,1.4239019,1.42296
1.4161927,1.4327863,1.4452081,1.4475483,1.4199342,1.4515862,1.4210691,1.4315995,1.4241623,1.4223841
1.4157436,1.4326372,1.4457891,1.4488478,1.4194741,1.4520191,1.4212221,1.431356,1.4244452,1.4220047
1.4154136,1.4325358,1.446263,1.4498025,1.4191861,1.4523486,1.4213804,1.4311525,1.4247624,1.4216377
1.4150835,1.4324342,1.4467368,1.4507573,1.4189787,1.4526554,1.4215386,1.4309813,1.4250937,1.4213101
1.4147536,1.4323313,1.4472106,1.451712,1.4188087,1.4529624,1.4216969,1.430836,1.425425,1.4209825
1.4144235,1.4322166,1.4476844,1.4526668,1.41868,1.4532692,1.4218551,1.430742,1.4257563,1.4206569
1.4140935,1.4321021,1.4481183,1.4536214,1.4185693,1.4535041,1.4220134,1.430687,1.4260616,1.4204022
1.4138862,1.431986,1.448419,1.4545707,1.4184586,1.4537184,1.4221988,1.4306707,1.4263452,1.4201473
1.4137313,1.4318559,1.448721,1.4552715,1.4183602,1.4539472,1.4224485,1.4306933,1.4266294,1.4198925
1.4137039,1.4317707,1.4490187,1.455799,1.4183513,1.4541388,1.4227226,1.4307816,1.4269724,1.4197445
1.413675,1.4317681,1.4492756,1.456227,1.4183424,1.4542274,1.422979,1.43088,1.4273359,1.4196824
