0,1,2,3,4,5,6,7,8,9
1.465937,1.4588436,1.4716214,1.4629834,1.470931,1.4579688,1.4707786,1.4653513,1.4781331,1.4645058
1.4657894,1.458994,1.4709792,1.463159,1.4709821,1.4576207,1.470119,1.4651798,1.4773061,1.4643904
1.4656419,1.4591444,1.470337,1.4633346,1.4710921,1.4572726,1.4694594,1.4653025,1.4764792,1.464275
1.4654943,1.4592948,1.4696949,1.463531,1.4712021,1.4569247,1.4687998,1.465425,1.4756521,1.4641787
1.4653393,1.4594452,1.4690527,1.4639287,1.4713122,1.4565766,1.4681402,1.4655476,1.4748251,1.4640852
1.4651822,1.4595957,1.4684105,1.4643263,1.4714222,1.4562285,1.4674807,1.4656669,1.4739982,1.4639918
1.4650251,1.4597461,1.467765,1.464724,1.4715321,1.4558805,1.4668211,1.4657861,1.4731711,1.4638983
1.4648681,1.4599001,1.4671075,1.4651215,1.4716421,1.4555324,1.4661616,1.4659053,1.4723442,1.4638047
1.464711,1.4600551,1.4664501,1.4655192,1.4717522,1.4551843,1.465502,1.4660245,1.4715172,1.4637113
1.4645538,1.4602101,1.4657927,1.4659169,1.4718622,1.4548364,1.4648424,1.4661437,1.4706903,1.4636178
1.4643967,1.4603642,1.4651352,1.4663144,1.4719722,1.454483,1.4641829,1.4662629,1.4698632,1.4635243
1.4642397,1.4605184,1.4644778,1.4667121,1.4720821,1.4541258,1.4635233,1.4663821,1.4690362,1.4634309
1.4640826,1.4606724,1.4638203,1.4671108,1.4721922,1.4537685,1.4628637,1.4665014,1.4682093,1.463342
1.4639255,1.4608375,1.4631629,1.4675124,1.4723022,1.4534113,1.4622461,1.4666203,1.4674191,1.4632888
1.4637684,1.4610229,1.4625055,1.4679141,1.4724122,1.453081,1.4616723,1.4667392,1.4666525,1.4632382
1.4636114,1.4612082,1.461879,1.4683158,1.4725221,1.4527953,1.4610987,1.4668603,1.4658858,1.4631876
1.4634678,1.4613723,1.4613377,1.4686551,1.4725873,1.4525096,1.4605786,1.466946,1.4651574,1.4631252
1.4633594,1.4615152,1.4608898,1.4689089,1.4726071,1.4523537,1.4601212,1.4669873,1.4645206,1.4630609
1.463251,1.4616581,1.4604421,1.4691585,1.472627,1.4521977,1.4596637,1.4670285,1.4638838,1.4629964
1.4631426,1.461801,1.4599955,1.4694083,1.4726449,1.4520416,1.4592063,1.4670703,1.463247,1.462932
1.4630336,1.461944,1.4595507,1.4696579,1.4726628,1.4518857,1.4587489,1.4670871,1.4626102,1.4628675
1.4629112,1.4620869,1.4591043,1.4699055,1.4726672,1.4517366,1.4582915,1.4670802,1.4621321,1.462793
1.4627459,1.4621873,1.4586561,1.4700947,1.472578,1.4515928,1.4578443,1.4670699,1.4616953,1.462578
1.4625088,1.4621549,1.4582438,1.470158,1.4724549,1.4514561,1.457346,1.4669695,1.4612659,1.4622755
1.4622716,1.462095,1.4578393,1.4701455,1.4722711,1.4513192,1.4568073,1.4668859,1.4608407,1.4619728
1.4620343,1.4620268,1.4575429,1.4700185,1.47201,1.4512081,1.4564056,1.4667336,1.4605622,1.461701
1.461797,1.4619454,1.4573457,1.46972,1.4716562,1.4512414,1.4561921,1.466502,1.4603229,1.4614552
1.4615422,1.461864,1.4571484,1.4694215,1.4713023,1.4512746,1.4559786,1.4662473,1.4600627,1.4612094
1.4612777,1.4617665,1.4569542,1.469123,1.4709483,1.4513067,1.4557651,1.4659878,1.4597971,1.4609636
1.4610131,1.4616551,1.4567708,1.468778,1.4705944,1.4513384,1.4555516,1.4657274,1.4595315,1.4607179
1.4607484,1.4615438,1.4565873,1.4684137,1.4702406,1.4513702,1.4553382,1.4654385,1.459266,1.4604721
1.4604839,1.4614244,1.4564043,1.4680302,1.4698867,1.4514021,1.4551238,1.4651356,1.4590169,1.4602187
1.4601781,1.46116,1.4563074,1.4674693,1.4693451,1.4516245,1.4550788,1.4646384,1.4588758,1.4599161
1.45982,1.460863,1.4562114,1.466957,1.4686849,1.4518951,1.4551059,1.4640961,1.4587258,1.4596142
1.4593229,1.4605463,1.4561332,1.4663365,1.4680555,1.4521197,1.4550922,1.4635344,1.4585294,1.4593122
1.4590038,1.4603351,1.4559882,1.4656854,1.4675356,1.4523772,1.455137,1.4629552,1.4583095,1.4590235
1.4587365,1.4601758,1.4559314,1.4650129,1.4670203,1.4526416,1.4552208,1.4623929,1.4581763,1.4588234
1.4584402,1.4599717,1.4560455,1.4642829,1.4664835,1.4528846,1.4552324,1.4619983,1.4582317,1.4585642
1.4581312,1.4597269,1.4561582,1.4635537,1.4659083,1.4531275,1.4552392,1.4616184,1.4583795,1.458305
1.4578222,1.4594822,1.4563041,1.462843,1.4653174,1.4533654,1.455246,1.4612385,1.4585272,1.4580457
1.4575132,1.4592376,1.4564546,1.4621323,1.4647264,1.4535941,1.4552528,1.4608494,1.458675,1.4577866
1.4572041,1.4589928,1.4566052,1.4614217,1.4641354,1.4538229,1.4552596,1.4604474,1.4588227,1.4575274
1.4568871,1.4587326,1.4567568,1.4606974,1.4635226,1.454071,1.4552606,1.4599953,1.4589688,1.4572624
1.45656,1.4584562,1.4569116,1.459962,1.4628825,1.4543375,1.4552547,1.4595215,1.4588856,1.4569966
1.4560472,1.458159,1.456917,1.4591904,1.4621339,1.454604,1.4552097,1.4589745,1.458672,1.4566425
1.4554255,1.4577394,1.4568722,1.4580567,1.4611951,1.4548547,1.4549893,1.4582888,1.4584539,1.4560066
1.4548038,1.4573022,1.456846,1.4569205,1.4602542,1.454906,1.4547256,1.4575629,1.4582033,1.4553766
1.4541545,1.4568696,1.4567897,1.4558808,1.4593103,1.4549415,1.4544637,1.4568851,1.4579898,1.4547647
1.4535515,1.4564624,1.4564891,1.4550557,1.4585787,1.4548198,1.4540547,1.4562029,1.4577261,1.4541665
1.4530034,1.4560541,1.4561577,1.4542255,1.4578513,1.4546766,1.4536312,1.455565,1.4573598,1.4535453
1.4524091,1.4556619,1.4558312,1.4533396,1.4571819,1.454481,1.4531336,1.4549865,1.4569981,1.4529678
1.4517816,1.4552697,1.4554311,1.4524655,1.456478,1.4542853,1.4526331,1.4544066,1.4565922,1.4523903
1.4511541,1.4548773,1.4550098,1.4515916,1.4557555,1.4540888,1.4521246,1.4538395,1.456186,1.4518127
1.4505285,1.4545293,1.4545885,1.4507177,1.4550211,1.4538728,1.4516176,1.4532984,1.4557321,1.4512258
1.4499171,1.4541862,1.4541672,1.4498436,1.4542887,1.453644,1.4509941,1.4527712,1.4552178,1.4506359
1.4493355,1.4538772,1.4537503,1.4489784,1.4535797,1.4533557,1.4503312,1.4522543,1.4546652,1.4500688
1.4489126,1.4536572,1.4534328,1.4485593,1.4531709,1.4530866,1.4498973,1.4517624,1.4541465,1.4495796
1.4484279,1.4534273,1.4530169,1.4482563,1.4528018,1.4527644,1.4494295,1.4515022,1.4534798,1.4491953
1.4478974,1.453115,1.4526092,1.4479796,1.4524175,1.4521825,1.4489533,1.4513217,1.4527283,1.4487555
1.447367,1.4527744,1.4523053,1.4476881,1.4520204,1.4515915,1.4484535,1.4511818,1.4520235,1.4483842
1.446837,1.4524338,1.4520018,1.4473697,1.4516236,1.4510752,1.4478571,1.4509821,1.4513226,1.4480605
1.4463075,1.4521137,1.4517003,1.4470425,1.4512256,1.4505764,1.4472549,1.4507929,1.450621,1.4477623
1.4457637,1.4518222,1.451399,1.4468024,1.45087,1.4500943,1.4466506,1.4506217,1.449911,1.4474849
1.4451982,1.4515733,1.451074,1.4466224,1.4506215,1.4495399,1.4459606,1.4505405,1.4491514,1.4472222
1.4446326,1.4513245,1.4507345,1.4464424,1.450373,1.4489933,1.4452655,1.4504573,1.4483776,1.4469596
