0,1,2,3,4,5,6,7,8,9
1.5203695,1.4980288,1.5188726,1.5155743,1.506594,1.5138626,1.5160505,1.516088,1.5156308,1.5152638
1.519692,1.4971544,1.5180781,1.5158165,1.5060244,1.5134327,1.5158808,1.5158621,1.5149138,1.514334
1.5190144,1.4962798,1.5172837,1.5160586,1.5054549,1.5130029,1.5157119,1.5156363,1.5141969,1.5134056
1.5183368,1.4954054,1.5164893,1.5163008,1.5048853,1.512573,1.5155432,1.5154104,1.5134798,1.5124795
1.5176593,1.494531,1.5156947,1.5165436,1.5043159,1.5121431,1.5153745,1.5151846,1.5127628,1.5115535
1.5169836,1.4936565,1.5149003,1.5167875,1.5037463,1.5117133,1.5152059,1.5149587,1.5120447,1.5106275
1.5163078,1.4927821,1.5141059,1.5170314,1.5031768,1.5112834,1.5150373,1.514733,1.5113257,1.5097015
1.5156322,1.4919076,1.5133114,1.5172753,1.5026072,1.5108535,1.5148686,1.514507,1.5106068,1.5087755
1.5149565,1.4910332,1.512517,1.5175192,1.5020376,1.5104237,1.5146999,1.5142813,1.5098877,1.5078495
1.5142808,1.4901587,1.5117226,1.5177631,1.5014682,1.5099937,1.5145313,1.5140554,1.5091687,1.5069234
1.5136051,1.4892843,1.510928,1.518007,1.5008986,1.5095638,1.5143626,1.5138296,1.5084502,1.5059974
1.5129294,1.4884099,1.5101336,1.518251,1.5003291,1.5091339,1.5141939,1.5136037,1.5077317,1.5050714
1.5122584,1.4875354,1.5093515,1.5184721,1.4997857,1.5087041,1.5140322,1.5133754,1.5070132,1.5041454
1.5115963,1.486661,1.5085876,1.5186781,1.4992498,1.5082742,1.5138733,1.5131422,1.5063175,1.5032194
1.5109342,1.4858148,1.5078307,1.5188903,1.4987139,1.5078495,1.5137144,1.5129092,1.5056239,1.5023304
1.510288,1.4851198,1.5071039,1.5190358,1.4982347,1.5074515,1.5135416,1.512676,1.5049758,1.5015532
1.509731,1.4845868,1.5065076,1.5190793,1.4978526,1.5070958,1.5133511,1.5124379,1.5044309,1.5008751
1.5091741,1.4840537,1.5059112,1.5191228,1.4974704,1.5067401,1.5131607,1.5121976,1.503886,1.5001969
1.5086172,1.483518,1.505315,1.5191664,1.4970881,1.5063845,1.5129791,1.5119572,1.5033411,1.4995189
1.5080602,1.4829752,1.5047247,1.5192099,1.4967059,1.5060288,1.5127984,1.5117168,1.5027962,1.4988407
1.507512,1.4824325,1.5041519,1.5192113,1.4963237,1.505673,1.5126176,1.5114764,1.5022787,1.4981797
1.5069777,1.482011,1.5036551,1.5191697,1.4959993,1.5053278,1.5124297,1.5112293,1.5018027,1.4976554
1.5064898,1.4817849,1.5031824,1.519128,1.4956791,1.5050148,1.5122063,1.510997,1.5013434,1.4971658
1.5060542,1.4815582,1.5027097,1.5190599,1.4954193,1.5047094,1.5119762,1.5107647,1.5009155,1.4966762
1.5056187,1.4813293,1.5022371,1.5189904,1.4951655,1.5044035,1.5117462,1.5105317,1.5004876,1.4961866
1.5053202,1.4815377,1.5019898,1.5187402,1.4951615,1.5041858,1.5114821,1.5102583,1.5002652,1.495936
1.505058,1.4818796,1.5018351,1.5183599,1.495259,1.5040509,1.511207,1.509963,1.5001422,1.49588
1.5047959,1.4822216,1.5016804,1.5179795,1.4953567,1.5039158,1.510926,1.5096676,1.5000138,1.495824
1.5045338,1.4825635,1.5015255,1.5175991,1.4954542,1.5037808,1.5106384,1.5093722,1.4998853,1.495768
1.5042716,1.4829054,1.5013708,1.5172188,1.4955518,1.5036458,1.5103507,1.5090768,1.4997569,1.4957118
1.5040095,1.4832474,1.501216,1.5168294,1.4956493,1.5035108,1.510063,1.5087782,1.4996285,1.4956558
1.5037473,1.4836462,1.5010703,1.5164365,1.4957854,1.5033618,1.5097759,1.508459,1.4995,1.495657
1.5036861,1.4844894,1.5011287,1.5158364,1.496155,1.5033206,1.5094959,1.5081347,1.4995915,1.4959598
1.5036165,1.4853328,1.5011853,1.515233,1.4965248,1.5032957,1.509216,1.5078104,1.499705,1.4962626
1.5035332,1.4861761,1.5012419,1.5146298,1.4968945,1.5032709,1.5089343,1.5074861,1.4998088,1.4965653
1.5034454,1.4870309,1.5013161,1.5140191,1.4972757,1.5032535,1.5086381,1.5071528,1.4999169,1.4968945
1.5033578,1.4879173,1.5014029,1.51335,1.4976656,1.5032374,1.5083514,1.5067934,1.5000565,1.4972184
1.503326,1.4888905,1.5015305,1.5126544,1.4980906,1.5032399,1.5080775,1.5064489,1.5002315,1.497554
1.5032945,1.4898884,1.5016506,1.511959,1.4985269,1.5032572,1.5078036,1.5061277,1.5004231,1.497954
1.503266,1.4908988,1.5017784,1.5112636,1.4989772,1.5032883,1.5075321,1.5058026,1.5006202,1.4983656
1.5032458,1.4919469,1.5019221,1.5105755,1.4994458,1.503347,1.5072757,1.5054703,1.500839,1.4987969
1.5032256,1.4929951,1.502066,1.5098875,1.4999144,1.5034058,1.5070194,1.5051379,1.5010577,1.4992282
