0,1,2,3,4,5,6,7,8,9
1.5544405,1.5537874,1.5451021,1.529855,1.5503763,1.5397733,1.5415417,1.5512038,1.5524341,1.5332358
1.5540026,1.5533792,1.5454609,1.5302231,1.5502394,1.5403459,1.5410111,1.5508296,1.5515963,1.5334021
1.5533639,1.5529711,1.5458198,1.5305545,1.5501113,1.5409185,1.5404804,1.5502939,1.5507275,1.5333775
1.5522679,1.5525621,1.5461786,1.5308859,1.5502903,1.541491,1.5399498,1.5494986,1.5498587,1.5333531
1.551172,1.5521427,1.5465373,1.5312173,1.5505437,1.5420636,1.539419,1.5487033,1.5489898,1.5333287
1.550076,1.5517234,1.5468961,1.5315486,1.550797,1.5426257,1.5388885,1.5479081,1.548121,1.5333041
1.5489801,1.5513136,1.5472549,1.53188,1.5510503,1.5432217,1.5383579,1.5471127,1.547252,1.5332797
1.5478841,1.5509089,1.5476137,1.5322114,1.5513037,1.5438273,1.5378275,1.5463175,1.5463833,1.5332552
1.5467882,1.5505042,1.5479726,1.5325427,1.5515571,1.5444329,1.5372971,1.5455222,1.5455145,1.5332307
1.5456922,1.5500995,1.5483221,1.5328741,1.5518104,1.5450385,1.5367669,1.544727,1.5446455,1.5332062
1.5445962,1.5496948,1.5486621,1.5332055,1.5520637,1.545644,1.5362365,1.5439316,1.5437768,1.5331818
1.5435003,1.5492901,1.5490022,1.5335367,1.5523171,1.5462496,1.5357063,1.5431364,1.5429078,1.5331572
1.5424043,1.5488853,1.5493422,1.5338676,1.5525705,1.5468572,1.5351759,1.5423411,1.542039,1.5331328
1.5413084,1.5484806,1.5496823,1.5341986,1.5528238,1.547467,1.5346457,1.5415457,1.5411702,1.5331084
1.5402124,1.5480759,1.5500222,1.5345297,1.5530772,1.5480769,1.5341153,1.5407505,1.5403013,1.5330838
1.5391421,1.5476713,1.5503623,1.5348607,1.5533305,1.5486385,1.5335851,1.5399553,1.5394325,1.5330702
1.53831,1.5473094,1.5506278,1.5351586,1.5535519,1.5490711,1.5330721,1.5392599,1.538704,1.5331016
1.5375597,1.5469755,1.5508118,1.5354338,1.5536245,1.5495037,1.5327581,1.5387081,1.538039,1.533175
1.5368094,1.5466417,1.5509812,1.5356896,1.5536867,1.5499089,1.5324903,1.5381563,1.5374607,1.5332193
1.5360591,1.5463078,1.5511502,1.5359453,1.553749,1.5502825,1.5322224,1.5376045,1.5368825,1.5332617
1.5352894,1.5459739,1.5513217,1.5361899,1.5538112,1.550656,1.5319545,1.5370526,1.5363042,1.5333041
1.5345273,1.545638,1.5514983,1.5364163,1.5538197,1.5509753,1.531738,1.5365007,1.5357269,1.5333526
1.5339905,1.5452967,1.5516295,1.5366468,1.5538132,1.5512552,1.5316273,1.5360236,1.5352135,1.5334126
1.5335056,1.5450011,1.5516793,1.5368776,1.5538021,1.5515351,1.5315166,1.535642,1.5347961,1.5335355
1.5330206,1.5447406,1.5517304,1.5371083,1.5537298,1.5517492,1.5313841,1.5352774,1.5344169,1.53365
1.5329031,1.5445861,1.5516421,1.5373839,1.553527,1.5516899,1.5315514,1.5350773,1.5344545,1.5338999
1.5329336,1.5444314,1.5515134,1.5376648,1.5532606,1.5516304,1.5318072,1.5350175,1.5345145,1.5341619
1.532966,1.5442768,1.5513848,1.537954,1.5530035,1.551571,1.5320626,1.5349578,1.5345746,1.5344028
1.5329958,1.5441365,1.5512563,1.5382448,1.5527779,1.5515116,1.5322973,1.5348979,1.5346345,1.5346439
1.5330147,1.5440147,1.5511277,1.5385274,1.5525522,1.5514522,1.5325319,1.5348746,1.53469,1.5348849
1.5330389,1.5438929,1.5509964,1.5387807,1.552311,1.5513923,1.5327704,1.5349122,1.5347368,1.5351216
1.5330218,1.5437347,1.5508564,1.5390302,1.5520655,1.5513271,1.533009,1.53495,1.5347828,1.5353566
1.5333925,1.543701,1.5505698,1.5392805,1.5517253,1.5511111,1.533532,1.5352522,1.5350971,1.5357004
1.53389,1.5436985,1.5501926,1.5395341,1.5513498,1.5507911,1.5341201,1.5356146,1.5355552,1.5360899
1.5344021,1.5437263,1.5498148,1.5397878,1.5509828,1.5504688,1.5347265,1.53598,1.536018,1.5364794
1.5349087,1.5437689,1.5494417,1.5400413,1.5506183,1.5501311,1.5353179,1.5363442,1.5365144,1.536875
1.5354644,1.5438159,1.5490639,1.5402901,1.550245,1.5497476,1.5359024,1.5367125,1.5370357,1.5372847
1.5360658,1.5438806,1.5486692,1.5405371,1.5498463,1.5493535,1.53654,1.5371171,1.537587,1.5377114
1.5366975,1.5439652,1.5482616,1.5407978,1.5494277,1.5489273,1.5372095,1.5375539,1.5381784,1.5381597
1.5373579,1.5440638,1.5478483,1.5410672,1.5489981,1.5484986,1.5378884,1.5380013,1.5387696,1.538613
1.5380183,1.5441624,1.5474352,1.5413368,1.5485685,1.5480698,1.5385672,1.5384487,1.5393608,1.5390663
1.5386788,1.5442609,1.547022,1.5416074,1.5481389,1.5476412,1.5392483,1.538896,1.5399519,1.5395197
1.5393406,1.5443639,1.5466088,1.5418911,1.5477092,1.5472125,1.5399393,1.5393579,1.5405475,1.539973
1.5400085,1.544471,1.5461956,1.5421748,1.5472832,1.5467838,1.5406302,1.5398206,1.5411471,1.5404264
1.5406867,1.5445781,1.5457803,1.5424585,1.5468594,1.5463551,1.5413005,1.5402833,1.5417466,1.5408796
1.541361,1.54466,1.5453664,1.5426488,1.5464356,1.5459286,1.5419658,1.5407461,1.542321,1.541336
1.5420083,1.5447404,1.5449526,1.542834,1.5459828,1.5455022,1.5426311,1.5411212,1.5428863,1.5417557
1.5424807,1.5447702,1.5445969,1.5430124,1.5455582,1.5451379,1.543238,1.5414547,1.5433567,1.5421276
1.5427601,1.5447539,1.5443115,1.5431423,1.5451767,1.5448766,1.5436177,1.5415977,1.5435842,1.5423892
1.5430548,1.5447564,1.5440001,1.5432605,1.5447896,1.5445544,1.54397,1.5417322,1.5438117,1.5425818
1.5433272,1.5447649,1.543735,1.5433519,1.5444298,1.5441924,1.5442884,1.5418406,1.543892,1.5427309
1.5435555,1.5447738,1.543527,1.5433768,1.5440784,1.5438689,1.5445484,1.541935,1.5439229,1.5428714
1.5437837,1.5447292,1.5433692,1.5433954,1.5436879,1.5435817,1.5447782,1.5420111,1.5439904,1.5429988
1.5440118,1.5447277,1.5431682,1.5434384,1.5433949,1.5434018,1.5450082,1.5420119,1.5440592,1.5431262
1.54423,1.5447303,1.5430084,1.5434799,1.5432045,1.5432687,1.5452163,1.5420707,1.5440891,1.5432347
1.5441936,1.544736,1.5429217,1.5435172,1.5430274,1.5431006,1.5453572,1.5420724,1.5440857,1.5433422
1.544139,1.5447123,1.54294,1.5435865,1.542956,1.5430863,1.5453281,1.5419885,1.5439181,1.5434029
1.543835,1.5447308,1.5430542,1.5436835,1.5430048,1.5430908,1.5453176,1.5418986,1.5437074,1.5433704
1.5434418,1.5447589,1.5432369,1.5438008,1.5431477,1.5433518,1.5452194,1.5417067,1.543348,1.5433657
1.5430485,1.5447978,1.5434357,1.5439181,1.5432882,1.5436276,1.5450888,1.5415148,1.5429887,1.5433679
1.5426395,1.5448378,1.5436423,1.5440354,1.5434289,1.5439036,1.5449408,1.5413228,1.5426292,1.5433701
1.5422329,1.5448779,1.543849,1.5441442,1.5435787,1.5441794,1.5447928,1.54114,1.5422745,1.5433723
1.5415608,1.544918,1.5441612,1.544251,1.5437853,1.544489,1.5446448,1.5409003,1.5419188,1.5432901
1.5408344,1.5448551,1.5445164,1.544342,1.544093,1.5448638,1.5442965,1.5404899,1.5412856,1.5431539
1.5400162,1.544768,1.5448717,1.5444248,1.5444432,1.5452834,1.5438615,1.5400795,1.5406525,1.5430176
1.5391147,1.5446852,1.5452653,1.5445076,1.5447935,1.545703,1.5434265,1.5396689,1.539947,1.5428513
1.5382133,1.5446038,1.5456737,1.5446049,1.5451436,1.5461419,1.5429915,1.5392263,1.5392147,1.5426823
1.5373118,1.5445194,1.5460821,1.5447038,1.5454938,1.5466535,1.5425565,1.5387745,1.5384079,1.5425131
1.5364105,1.544434,1.5464906,1.5448029,1.5458441,1.547165,1.5421216,1.5383228,1.537601,1.5423441
1.535509,1.5443485,1.546899,1.544902,1.5461943,1.5476767,1.5416814,1.5378708,1.5367941,1.542175
1.5346075,1.5442631,1.5473074,1.545001,1.5465446,1.5481883,1.5411905,1.5373801,1.5359871,1.542006
1.5337061,1.5441777,1.5477158,1.5451001,1.5468947,1.5486999,1.5406997,1.5368893,1.5351802,1.541837
1.5328047,1.5440922,1.5481242,1.545199,1.5472449,1.5492115,1.5402088,1.5363986,1.5343734,1.5416679
